primer_componente,segundo_componente,Cancion,Artista
-1.7654859,-4.312139,A esa,Pimpinela
-2.3563333,-3.270535,A quién le importa,Alaska y Dinarama
-0.014737421,1.4730234,Amante Bandido,Miguel Bosé
-0.4096985,0.24645421,Amor Eterno,Rocío Dúrcal
-1.7171558,-0.7813092,Ausencia,Héctor Lavoe
-1.9930788,1.3334663,Bamboleo,Gipsy Kings
-3.8546627,-0.7395527,Caminando por el microcentro,Attaque 77
-2.286839,-0.5869118,Cartas sin marcar,Andrés Calamaro
-1.1590875,0.6728703,Cinco noches,Paquito Guzmán
-2.6580698,0.010311866,Ciudad de pobres corazones,Fito Páez
-1.5049229,0.2573316,Claridad,Menudo
0.72100854,0.57659054,Como yo te amo,Raphael
-2.5633976,-1.6101063,Conversación nocturna,Los Fabulosos Cadillacs
-2.8475208,0.24932355,Cosas mías,Los Abuelos de la Nada
-3.3084328,-0.8453518,Costumbres argentinas,Los Abuelos de la Nada
2.1447568,0.8683034,Cuando Calienta El Sol,Luis Miguel
-5.750611,0.28829962,Cuando Pase El Temblor,Soda Stereo
-4.280594,-1.2063226,Cuando Seas Grande,Miguel Mateos
-4.4359603,0.12116529,Cuántas minas que tengo,Ignacio Copani
-2.0836785,-0.16793737,Cómo Te Va Mi Amor,Pandora
-4.6078362,1.5781163,Debajo del puente,Ariel Rot
-3.9277995,3.0614989,Devuélveme a mi chica,Hombres G
-3.3201642,-2.752986,Djobi djobá,Gipsy Kings
-3.118063,1.575128,El gran varón,Willie Colón
-3.5347664,-5.9030666,El ritual de la banana,Los Pericos
0.34550124,-5.293823,En algún lugar,Duncan Dhu
-2.3532023,2.3954856,En la ciudad de la furia,Soda Stereo
-2.661289,0.79874617,Es la vida que me alcanza,Celeste Carballo
1.437733,-1.3116839,Es por amor,G I T
-1.2436094,-1.6770204,Fanky,Charly García
-0.83742267,3.3053274,Fiesta En América,Chayanne
-1.9596623,-2.5837202,Gente que no,Todos tus muertos
-0.051568426,-0.7574906,Hasta Que Te Conocí,Juan Gabriel
-1.8856332,2.798352,Imágenes paganas,Virus
-3.7371993,3.2176132,Isabel,Luis Miguel
-3.555841,1.3429575,Juanito Alimaña,Héctor Lavoe
-0.81124794,-2.8515887,La bifurcada,Memphis la blusera
-3.272353,2.102481,La chica del Bikini Azul,Luis Miguel
-0.92481893,1.0709971,La Cita,Galy Galiano
-4.7612233,-2.3665483,La colina de la vida,Charly García
-2.8767192,0.19966379,La Fuerza Del Destino,Mecano
-4.413637,0.713806,La gota fría,Carlos Vives
-0.6543083,1.2170202,La Incondicional,Luis Miguel
-1.9777997,4.580432,La muralla verde,Enanitos Verdes
-1.9777997,4.580432,La Muralla Verde,Los Enanitos Verdes
-4.103626,3.8293235,La Negra Tomasa,Caifanes
0.2143849,-5.2580886,La Puerta de Alcalá,Ana Belén & Victor Manuel
-3.3320458,1.2409489,La rubia tarada,Sumo
-0.8103094,2.2863157,La vida es un carnaval,Celia Cruz
0.2029103,-5.2590513,Lambada,Kaoma
0.82454854,2.5078182,Lluvia,Eddie Santiago
-4.0081472,1.805045,Lobo hombre en París,La Unión
-2.3157413,1.9049411,Loco,Los Auténticos Decadentes
-3.4680834,0.6715176,Los hermanos Pinzones,Fontova y sus sobrinos
-2.0995836,-0.3956078,Lucha de Gigantes,Nacha Pop
-1.4127965,-0.26361006,Lunes por la madrugada,Los abuelos de la Nada
-1.7163899,-0.0949991,Maldita Primavera,Yuri
-3.3469648,-5.8907375,Masacre en el puticlub,Patricio Rey y sus redonditos de ricota
-0.883335,1.319337,Me das cada día más,Valeria Lynch
-4.3420734,2.9519234,Mi agüita amarilla,Toreros Muertos
-3.2099507,-3.858012,Mi novia se cayó a un pozo ciego,Los Fabulosos Cadillacs
0.5318699,2.2542717,Mil horas,Los abuelos de la nada
0.21039137,-1.741734,Mátenme Porque Me Muero,Caifanes
2.1829627,0.65005004,Nada personal,Soda Stereo
-1.2146422,-1.744445,Nada que perder,Los Pericos
-2.119955,1.554615,Nena,Miguel Bosé
-2.5372143,-2.5929976,Ni tú ni nadie,Alaska y Dinarama
-2.004829,0.41748908,No llores por mí Argentina,Serú Girán
-0.63985944,-1.5230973,No me dejan salir,Charly García
-1.802483,-1.3713324,No Sé Si Es Amor,Timbiriche
-1.125643,-3.0110655,No te alejes tanto de mi,Luis Alberto Spinetta
-3.0275013,-1.1993806,No voy en tren,Charly García
-1.8347774,-0.63335615,Olvídame y Pega la Vuelta,Pimpinela
-5.676285,2.1159766,Para Amarnos Más,Mijares
-3.2099507,-3.858012,Pensé que se trataba de cieguitos,Los Twist
-2.0082676,-1.197878,Persiana Americana,Soda Stereo
-3.6818495,-0.10255174,Por el resto,Enanitos Verdes
-1.70598,-5.218261,Que alegría,Johnny Tolengo
0.5180844,1.315806,Que tendrá el petiso,Ricky Maravilla
-0.13416824,-2.5975552,Querida,Juan Gabriel
-1.8218687,-1.6949134,Quién se ha tomado todo el vino,Carlitos Mona Jiménez
0.074490294,-1.2728231,Qué ganas de no verte nunca más,Valeria Lynch
0.105983324,-0.34532928,Saca la mano,Antonio Las Primas
-1.6739293,-4.8924007,Sera Porque Te Amo,Ricchi E Poveri
-3.8816133,-1.9810507,Si No Es Ahora,Timbiriche
-1.9455161,2.9968393,Signos,Soda Stereo
-5.244329,-1.0962281,Silencio hospital,Los Fabulosos Cadillacs
-2.9399142,0.9899883,Solo los chicos,Fito Páez
-3.5207324,-5.900782,Solo quiero rock and roll,La Torre
-2.105799,1.1780459,Tan Enamorados,Ricardo Montaner
0.6881568,-2.1103888,Te quiero,Hombres G
-1.5417266,1.6750786,Toda la Vida,Emmanuel
-1.6060845,1.6826648,Todo a pulmón,Alejandro Lerner
-0.5591503,2.5504622,Triste Canción,El Tri
-3.0133092,-2.1188576,Twist de Luis,Los Twist
-2.0364704,0.13109964,Tú Y Yo Somos Uno Mismo,Timbiriche
-2.3271985,-1.19863,Un Buen Perdedor,Franco de Vita
-1.2103331,-0.97718096,Una Luna de Miel en la Mano,Virus
-2.2537186,-1.086134,Vasos vacíos,Los Fabulosos Cadillacs
0.8407194,-0.17554986,Viento,Caifanes
-3.4512327,0.374169,Y cómo es él,José Luis Perales
-0.033538207,-0.5556611,Yo No Te Pido La Luna,Daniela Romo
-0.863571,-3.5592089,Yo te avisé,Los Fabulosos Cadillacs
-2.6255796,3.0015943,Ámame en cámara lenta,Valeria Lynch
-0.05098308,0.58727145,Él Me Mintió,Amanda Miguel
